district_code,district_name_median,median_ENERGY_CONSUMPTION_CURRENT,median_CURRENT_ENERGY_EFFICIENCY,mean_ENERGY_CONSUMPTION_CURRENT,mean_CURRENT_ENERGY_EFFICIENCY
G71,"Bothwell, Uddingston, Lanarkshire",176,75,186.5019763,74.94071146
G72,"Blantyre, Cambuslang",207,72,220.8899083,71.01223242
G73,"Rutherglen, South Lanarkshire",247,68,269.9494949,66.08080808
G74,Thorntonhall,151,79,185.0953545,77.12469438
G75,East Kilbride,229,72,237.9498433,71.96551724
G76,"Carmunnock North, Carmunnock South, Busby, Clarkston, Eaglesham, Waterfoot",256,67,272.2574257,65.85148515
G77,Newton Mearns,177,75,188.5536723,73.5480226
G78,"Barrhead, Neilston, Uplawmoor",213.5,72.5,208.5333333,73.41333333
G81,"Dalmuir, Duntocher, Faifley, Hardgate",193,75,226.1089325,73.30283224
G82,"Cardross, Milton",222,73,233.4238683,71.76954733
G83,"Ardlui, Balloch, Bonhill, Gartocharn, Luss, Renton, Tarbet",252,67,283.343949,65.59872611
G84,"Clynder, Cove, Garelochhead, Kilcreggan, Rhu, Rosneath, Shandon, Argyll and Bute",278,65,310.534965,62.77272727
